,link,composition,imageUrl,title,description,price,color,sustainability,gender
0,https://www.zara.com/us/en/smiley-%C2%AE-happy-collection-printed-sweatshirt-p04087314.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/4087/314/800/22/w/563/4087314800_1_1_1.jpg?ts=1629124839549,SMILEY ® HAPPY COLLECTION PRINTED SWEATSHIRT,Full cut short sleeve sweatshirt with round neck. Front and back print detail with Smiley ® Happy Collection logo. Washed effect. Rib trim.,49.90 USD,Color Black | 4087/314,,men
1,https://www.zara.com/us/en/printed-text-t-shirt-p04087354.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/4087/354/800/2/w/563/4087354800_1_1_1.jpg?ts=1632134664341,PRINTED TEXT T-SHIRT,Full cut T-shirt with round neck and short sleeves. Contrasting text print details at front and back.,35.90 USD,Color Black | 4087/354,,men
2,https://www.zara.com/us/en/shirt-with-patches-p05644343.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/5644/343/800/2/w/563/5644343800_1_1_1.jpg?ts=1629283462347,SHIRT WITH PATCHES,Full cut T-shirt with round neck and short sleeves. Front and back contrast patch appliqué. Asymmetric hem.,35.90 USD,Color Black | 5644/343,,men
3,https://www.zara.com/us/en/%E2%80%9Clove%E2%80%9D-print-t-shirt---pet-shop-boys-partnership-p05431300.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/5431/300/800/2/w/563/5431300800_1_1_1.jpg?ts=1626688063612,“LOVE” PRINT T-SHIRT © PET SHOP BOYS PARTNERSHIP,Full cut T-shirt with round neck and short sleeves. Front and bag logo print “Love” © Pet Shop Boys Partnership.,35.90 USD,Color Black | 5431/300,,men
4,https://www.zara.com/us/en/tie-dye-print-shirt-p00722446.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/0722/446/046/2/w/563/0722446046_1_1_1.jpg?ts=1622799313991,TIE-DYE PRINT SHIRT,Relaxed fit tank top with scoop neckline.,19.90 USD,Color Pink / White | 0722/446,,men
5,https://www.zara.com/us/en/printed-text-t-shirt-p06224437.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/6224/437/612/2/w/563/6224437612_1_1_1.jpg?ts=1622204469676,PRINTED TEXT T-SHIRT,Full cut T-shirt with round neck and short sleeves. Contrasting printed text at front.,35.90 USD,Color Mauve | 6224/437,,men
6,https://www.zara.com/us/en/pleated-oversized-top-p08288482.html,"['We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% polyester', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/8288/482/706/2/w/563/8288482706_1_1_1.jpg?ts=1625473348356,PLEATED OVERSIZED TOP,Full cut T-shirt with round neck and short sleeves. Chest patch pocket.,35.90 USD,Color Mink | 8288/482,,men
7,https://www.zara.com/us/en/textured-pocket-t-shirt-p01887412.html,"['Care for fiber: at least 50% ecologically grown cotton or Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'Ecologically grown cotton is grown using natural fertilizers and pesticides.The use of these natural growth methods is more respectful of water and of environmental biodiversity which allows farmers to integrate cotton crops with others that serve as food such as oranges, tomatoes, or turmeric, for example.Additionally, in ecologically grown cotton farms the use of genetically modified seeds is avoided, helping to conserve seed biodiversity and soil fertility.', 'We only use ecologically grown cotton certified by organizations that perform monitoring from raw material through the final product. We are currently working with:Organic Content Standard (OCS)Global Organic Textile Standard (GOTS)', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/1887/412/251/24/w/563/1887412251_1_1_1.jpg?ts=1626274551415,TEXTURED POCKET T-SHIRT,Sleeveless full cut shirt with round neckline. Chest patch pocket. Irregular hems.,17.90 USD,Color Oyster White | 1887/412,,men
8,https://www.zara.com/us/en/pocket-t-shirt-p01887410.html,"['Care for fiber: at least 50% ecologically grown cotton or Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'Ecologically grown cotton is grown using natural fertilizers and pesticides.The use of these natural growth methods is more respectful of water and of environmental biodiversity which allows farmers to integrate cotton crops with others that serve as food such as oranges, tomatoes, or turmeric, for example.Additionally, in ecologically grown cotton farms the use of genetically modified seeds is avoided, helping to conserve seed biodiversity and soil fertility.', 'We only use ecologically grown cotton certified by organizations that perform monitoring from raw material through the final product. We are currently working with:Organic Content Standard (OCS)Global Organic Textile Standard (GOTS)', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/V/0/2/p/1887/410/833/2/w/563/1887410833_1_1_1.jpg?ts=1616064452022,POCKET T-SHIRT,Full cut T-shirt with round neck and short sleeves. Chest patch pocket.,19.90 USD,Color Faded black | 1887/410,,men
9,https://www.zara.com/us/en/the-beach-boys---bravado-t-shirt-p01277401.html,"['Care for water: produced using less water.We use the Join Life label for items that have been produced using technologies and raw materials that help us reduce the environmental impact of our products. ', 'These garments were produced using technologies that reduce water consumption in their production processes.The garment dyeing or washing processes require a higher consumption of water. The use of closed cycles that allow reuse of water or of technologies like machines of low bath ratio or bulk dyeing that reduce water consumption in these processes helps us preserve fresh water resources.', 'This product was made following the Join Life standard developed by Inditex Group and based on Life Cycle Analysis, an internationally standardized method that allows assessing the impacts of a product in the various phases of its production, use, and end of life. To assess compliance with the standard, a program has been developed of audits performed by specialized external companies.', 'We work with monitoring programs to guarantee compliance with the health, safety, and quality standards for our products. The Green to Wear 2.0 standard aims to minimize the environmental impact of textile manufacturing. To do this, we have developed Inditex’s The List program which helps us guarantee both the purity of production processes and the health and safety of our garments. ', '100% cotton', 'Lower temperature washes and delicate spin cycles are gentler on garment, helping to maintain the color, shape and structure of the fabric. At the same time it reduces energy consumption that is used in care processes.']",https://static.zara.net/photos///2021/I/0/2/p/1277/401/044/2/w/563/1277401044_1_1_1.jpg?ts=1620978136491,THE BEACH BOYS © BRAVADO T-SHIRT,Round neck short sleeve T-shirt with contrast trim. Front text print and back graphic print of The Beach Boys © Bravado Merchandising.,35.90 USD,Color Blue / White | 1277/401,,men
