,title,color,imageUrl,price,gender,brand,description,composition,cotton
0,Roy Logo Tee Deep Blue,deep blue,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Deep-Blue-131742C43-015_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
1,Roy Logo Tee Offwhite,offwhite,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Offwhite-131742W04-21_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
2,Roy Logo Tee Greymelange,Greymelange,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Greymelange-131742B04-27_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
3,Roy Logo Tee Black,black,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Black-131742B01-08_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
4,Roy Beach 50s Blue,blue,https://cdn.nudiejeans.com/img/Roy-Beach-50s-Blue-131778C41-11-kopiera_1600x1600.jpg,80,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
5,Uno Everyday Tee Faded Sun,faded sun,https://cdn.nudiejeans.com/img/Uno-Everday-Tee-Faded-Sun-131773Y23-09_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
6,Uno Everyday Tee Chalk White,chalk white,https://cdn.nudiejeans.com/img/Uno-Everday-Tee-Chalk-White-131773W47-11_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
7,Uno Everyday Tee Black,black,https://cdn.nudiejeans.com/img/Uno-Everday-Tee-Black-131773B01-16_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
8,Roy Contrast Dreaming Brownmelange,Brownmelange,https://cdn.nudiejeans.com/img/Roy-Contrast-Dreaming-Brownmelange-131781B49-23_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
9,Roy Heavy Dreaming Places Black,,https://cdn.nudiejeans.com/img/Roy-Heavy-Dreaming-Places-Black-131782B01-006_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
10,Roy Pina Colada Burnt Orange,Orange,https://cdn.nudiejeans.com/img/Roy-Drink-Burnt-Orange-131778R36-13_1600x1600.jpg,80,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
11,Joey Reverie And Reality Chalk White,chalk white,https://cdn.nudiejeans.com/img/Joey-Reverie-And-Reality-Chalk-White-131784W47-16_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
12,Joey Reverie And Reality Brownmelange,Brownmelange,https://cdn.nudiejeans.com/img/Joey-Reverie-And-Reality-Brownmelange-131784B49-12_2400x2400.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
13,Roger Slub Black,black,https://cdn.nudiejeans.com/img/Roger-Slub-Black-131484B01-01_2400x2400.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
14,Roger Slub Offwhite,offwhite,https://cdn.nudiejeans.com/img/Roger-Slub-Offwhite-131484W04-01_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
15,Roger Slub nvy,slub navy,https://cdn.nudiejeans.com/img/Roger-Slub-Navy-131484B25-01_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
16,Roger Slub Navy,navy,https://cdn.nudiejeans.com/img/Roger-Slub-Navy-131484B25-01_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
17,Roger Slub Hazel,hazel,https://cdn.nudiejeans.com/img/Roger-Slub-Hazel-131484C38-16_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
18,Roger Slub 50s Blue,blue,https://cdn.nudiejeans.com/img/Roger-Slub-Offwhite-131484W04-01_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
19,Roger Slub Indigo Blue,indigo blue,https://cdn.nudiejeans.com/img/Roger-Slub-Indigo-Blue-131484P16-14_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
20,Uno Everyday Tee Faded Sun,faded sun,https://cdn.nudiejeans.com/img/Uno-Everday-Tee-Faded-Sun-131773Y23-09_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
21,Uno Everyday Tee Chalk White,chalk white,https://cdn.nudiejeans.com/img/Uno-Everday-Tee-Chalk-White-131773W47-11_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
22,Uno Everyday Tee Black,black,https://cdn.nudiejeans.com/img/Uno-Everday-Tee-Black-131773B01-16_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
23,Charles Breton Stripe Poppy Red,Poppy Red,https://cdn.nudiejeans.com/img/Charles-Breton-Stripe-Poppy-Red-131726R35-08_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
24,Charles Breton Stripe Blue/Offwhite,blue,https://cdn.nudiejeans.com/img/Charles-Breton-Stripe-Blue-Offwhite-131726B36-27_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
25,Charles Breton Stripe Offwhite/Black,black,https://cdn.nudiejeans.com/img/Charles-Breton-Stripe-Offwhite-Black-131726W08-11_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
26,Rudi Blueprint Chalk White,chalk white,https://cdn.nudiejeans.com/img/Rudi-Blueprint-Chalk-White-131770W47-09_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
27,Roy Blueprint Chalk White,chalk white,https://cdn.nudiejeans.com/img/Roy-Blueprint-Chalk-White-131769W47-06_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
28,Roy Sunset Chalk White,chalk white,https://cdn.nudiejeans.com/img/Roy-Sunset-Chalk-White-131777W47-163_2400x2400.jpg,80,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
29,Roy Respect The Worker Faded Green,Faded green,https://cdn.nudiejeans.com/img/Roy-Respect-The-Worker-Faded-Green-131768G43-02_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
30,Roy Nudie Jeans CO Navy,navy,https://cdn.nudiejeans.com/img/Roy-Nudie-Jeans-CO-Navy-131757B25-10_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
31,Roy Nudie Jeans CO Chalk White,chalk white,https://cdn.nudiejeans.com/img/Roy-Nudie-Jeans-CO-Chalk-White-131757W47-14_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
32,Milton Rebirth Tee Faded Green,Faded green,https://cdn.nudiejeans.com/img/Milton-Rebirth-Tee-Faded-Green-131766G43-13_1600x1600.jpg,80,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
33,Milton Rebirth Tee Black,black,https://cdn.nudiejeans.com/img/Milton-Rebirth-Tee-Black-131766B01-05_1600x1600.jpg,80,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
34,Uno Ten Pin Chalk White,chalk white,https://cdn.nudiejeans.com/img/Uno-Ten-Pin-Chalk-White-131786W47-142_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
35,Uno Snake Eyes Black,black,https://cdn.nudiejeans.com/img/Uno-Snake-Eyes-Black-131788B01-15_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
36,Rudi Heavy Pocket Tee Navy,navy,https://cdn.nudiejeans.com/img/Rudi-Heavy-Pocket-Tee-Navy-131713B25-15-1_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
37,Rudi Heavy Pocket Tee Chalk White,chalk white,https://cdn.nudiejeans.com/img/Rudi-Heavy-Pocket-Tee-Chalk-White-131713W47-04_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
38,Rudi Heavy Pocket Tee Black,black,https://cdn.nudiejeans.com/img/Rudi-Heavy-Pocket-Tee-Black-131713B01-13_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
39,Rudi Rebirth Tee Faded Green,Faded green,https://cdn.nudiejeans.com/img/Rudi-Rebirth-Tee-Faded-Green-131767G43-19-1_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
40,Rudi Rebirth Tee Black,black,https://cdn.nudiejeans.com/img/Rudi-Rebirth-Tee-Black-131767B01-04-1_1600x1600.jpg,90,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
41,Roy Logo Tee Black,black,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Black-131742B01-08_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
42,Roy Logo Tee Greymelange,Greymelange,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Greymelange-131742B04-27_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
43,Roy Logo Tee Offwhite,offwhite,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Offwhite-131742W04-21_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
44,Roy Logo Tee Deep Blue,deep blue,https://cdn.nudiejeans.com/img/Roy-Logo-Tee-Deep-Blue-131742C43-015_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
45,Roy One Pocket Tee Offwhite,offwhite,https://cdn.nudiejeans.com/img/Roy-One-Pocket-Tee-Offwhite-131687W04-04_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
46,Roy One Pocket Tee Black,black,https://cdn.nudiejeans.com/img/Roy-One-Pocket-Tee-Black-131687B01-03_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
47,Roy One Pocket Tee Green,green,https://cdn.nudiejeans.com/img/Roy-One-Pocket-Tee-Green-131687G01-06_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
48,Roy One Pocket Tee Brick Red,brick red,https://cdn.nudiejeans.com/img/Roy-One-Pocket-Tee-Brick-Red-131687R34-10_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
49,Roy One Pocket Tee Army,Army,https://cdn.nudiejeans.com/img/Roy-One-Pocket-Tee-Army-131687G06-17_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
50,Roy One Pocket Tee Indigo Blue,indigo blue,https://cdn.nudiejeans.com/img/Roy-One-Pocket-Tee-Indigo-Blue-131687P16-12_1600x1600.jpg,70,men,Nudie Jeans,"It's made in a clean, crisp jersey made with organic and Fairtrade cotton. It has a great logo print. And when you buy this t-shirt, you can be sure that we have paid our share of living wages for it.",100% Cotton,1
