SN,title,description,price,color,gender,imageUrl,rating,reviews,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
1,Boyfriend Origins - Charcoal,"An effortlessly cool, oversized fit. We added length for a relaxed, vintage feel. Made with premium organic cotton, the Boyfriend Origins tee has an ultra-comfy worn-in feel, like an old band tee you've loved for years.

Original artwork, hand-drawn by hinterland artist Nelson Kokela, references the beautiful mountain ranges of our hinterland home. We pay tribute to the roots of Outland Denim, and the connection our community has with the seamstresses who make their clothes.",79,charcoal,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-origins-tee-charcoal-front_bb6730f5-bf89-4234-91ee-ad17ebdf90e3_1000x.jpg?v=1634018885,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
2,Boyfriend Origins - White,"An effortlessly cool, oversized fit. We added length for a relaxed, vintage feel. Made with premium organic cotton, the Boyfriend Origins tee has an ultra-comfy worn-in feel, like an old band tee you've loved for years.

Original artwork, hand-drawn by hinterland artist Nelson Kokela, references the beautiful mountain ranges of our hinterland home. We pay tribute to the roots of Outland Denim, and the connection our community has with the seamstresses who make their clothes.",79,white,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-boyfriend-origins-white-front_1000x.jpg?v=1611719025,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
3,Girlfriend 1996 - Charcoal,"The Girlfriend Tee is an effortlessly cool, oversized fit. We added some length for a relaxed, vintage feel. Made with premium organic cotton, the Girlfriend tee has an ultra-comfy, worn-in feel, like an old band tee that you've loved for years.",69,charcoal,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-girlfriend-1996-charcoal-front_760c818b-2e45-4ea4-b7b0-90cf486f98f7_1000x.jpg?v=1634080545,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
4,Girlfriend 1996 - White,"The Girlfriend Tee is an effortlessly cool, oversized fit. We added some length for a relaxed, vintage feel. Made with premium organic cotton, the Girlfriend tee has an ultra-comfy, worn-in feel, like an old band tee that you've loved for years.",69,white,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/4_5fb33337-34b6-494a-adc2-2c367356b72e_1000x.png?v=1613082596,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
5,High Hopes Tee,"We have high hopes. Hope for the future, for humanity, for our planet. We celebrate what is good in the world - the beauty of humanity. We’re not deterred by pessimism, neither are our heads in the clouds. We stay grounded but move forward with passion, vision, and purpose. We believe the clothes we wear can be a force for good. No one is perfect, but we commit to always fight for a better way. 

An effortlessly cool, oversized fit. We added some length for a relaxed, vintage feel. Made with premium organic cotton, the High Hopes tee has an ultra-comfy, worn-in feel, like an old band tee that you've loved for years.

Finished with original Outland Denim x Montana Lower ‘High Hopes’ artwork. The High Hopes tee design was produced in collaboration with Montana Lower. Designed for positive impact, made for a better tomorrow.",80,white,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/montana-womens-tee-high-hopes-white-4_1000x.jpg?v=1627614250,5,3,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
6,Humanity Tee - Black,"We made this tee for all the suckers for humanity, just like you. You're a sucker for extending a helping hand. A sucker for giving back. A sucker for lending your neighbor the mower (even though you'll never get it back). A sucker for seeing the good in people. A sucker for hope. A sucker for this beautiful planet we call home.

An effortlessly cool, oversized fit. We added some length for a relaxed, vintage feel. Made with premium organic cotton, the Humanity tee has a classic t-shirt structure. It has a crisper feeling in comparison to the Boyfriend tee, while still feeling incredibly soft to touch and features original artwork, hand-drawn by hinterland artist Nelson Nokela.

Released especially to raise awareness of social injustice this July 30, World Day Against Trafficking in Persons, this isn't just any tee. Wear with pride knowing that your Humanity tee provided life-transforming opportunity, education, and support to people who have experienced trafficking and exploitation.",70,black,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-girlfriend-sucker-for-humanity-charcoal-lead_1000x.jpg?v=1627366833,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
7,Humanity Tee - White,"We made this tee for all the suckers for humanity, just like you. You're a sucker for extending a helping hand. A sucker for giving back. A sucker for lending your neighbor the mower (even though you'll never get it back). A sucker for seeing the good in people. A sucker for hope. A sucker for this beautiful planet we call home.

An effortlessly cool, oversized fit. We added some length for a relaxed, vintage feel. Made with premium organic cotton, the Humanity tee has a classic t-shirt structure. It has a crisper feeling in comparison to the Boyfriend tee, while still feeling incredibly soft to touch and features original artwork, hand-drawn by hinterland artist Nelson Nokela.

Released especially to raise awareness of social injustice this July 30, World Day Against Trafficking in Persons, this isn't just any tee. Wear with pride knowing that your Humanity tee provided life-transforming opportunity, education, and support to people who have experienced trafficking and exploitation.",70,white,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-girlfriend-sucker-for-humanity-white-LEAD_37f24e6e-24f0-4386-b476-28413c1e8ded_1000x.jpg?v=1634082815,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
8,Jane 1996 - Charcoal,"Simple and chic, the Jane tee is a go-to relaxed and classic cut. Jane drapes beautifully and pairs perfectly with your favourite jeans or shorts. Made with soft-to-touch, premium organic cotton for maximum comfort and durability. Finished with a touch of ’90s, Jane features a small, centred Outland Denim logo.",69,charcoal,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-jane-1996-charcoal-front_42a01db6-2a2f-419b-8d5b-281632eb985d_1000x.jpg?v=1634089328,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
9,Jane 1996 - Grey,"Simple and chic, the Jane tee is a go-to relaxed and classic cut. Jane drapes beautifully and pairs perfectly with your favourite jeans or shorts. Made with soft-to-touch, premium organic cotton for maximum comfort and durability. Finished with a touch of ’90s, Jane features a small, centred Outland Denim logo.",69,grey,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-jane-1996-charcoal-front_42a01db6-2a2f-419b-8d5b-281632eb985d_1000x.jpg?v=1634089328,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
10,Jane 1996 - Sand,"Simple and chic, the Jane tee is a go-to relaxed and classic cut. Jane drapes beautifully and pairs perfectly with your favourite jeans or shorts. Made with soft-to-touch, premium organic cotton for maximum comfort and durability. Finished with a touch of ’90s, Jane features a small, centred Outland Denim logo.",70,sand,women,https://cdn.shopify.com/s/files/1/0265/1625/8864/products/womens-tee-jane-1996-charcoal-front_42a01db6-2a2f-419b-8d5b-281632eb985d_1000x.jpg?v=1634089328,4.9,19,Outland Denim,100% Organic Cotton,0,0,0,0,0,0,0,0,1
